1568493900000;-2208;-16236;-1768;34.32;-502;-421;-401
1568493900100;-1980;-16072;-2264;34.27;-138;-523;-286
1568493900200;-2100;-14596;-1696;34.22;-827;-246;-651
1568493900300;-1984;-15784;-1684;34.27;-371;-398;-191
1568493900400;-2268;-16808;-1860;34.27;-764;-413;-123
1568493900500;-2632;-17252;-1908;34.27;-700;-486;-405
1568493900600;-2136;-17848;-1836;34.27;-531;-395;-765
1568493900700;-2028;-16056;-1828;34.32;-643;-452;135
1568493900800;-2044;-16136;-2024;34.32;-677;-451;-276
1568493900900;-2292;-17044;-2416;34.27;-663;-371;457
1568493901000;-1924;-16472;-2368;34.37;-576;-446;-1160
1568493901100;-1828;-16124;-2176;34.32;-976;-497;-410
1568493901200;-2292;-15376;-1988;34.27;171;-210;2131
1568493901300;-2456;-17360;-1748;34.41;398;-562;-1187
1568493901400;-2140;-17024;-1580;34.27;-1831;-84;1174
1568493901500;-2668;-16328;-2792;34.37;-1482;-311;1136
1568493901600;-2528;-17208;-2776;34.22;811;-959;-833
1568493901700;-2364;-16988;-1820;34.27;-643;-387;345
1568493901800;-2420;-16516;-2600;34.32;-571;-475;-542
1568493901900;-2356;-16384;-2308;34.32;-194;-827;-1019
1568493902000;-2680;-15312;-820;34.32;348;-1297;21
1568493902100;-2312;-16952;-2024;34.27;-633;-479;38
1568493902200;-2088;-16716;-2104;34.27;-1023;-313;-36
1568493902300;-2112;-15516;-2288;34.32;-710;-676;-895
1568493902400;-2344;-16264;-2140;34.27;424;-662;-337
1568493902500;-2120;-16840;-1852;34.41;-794;-411;-907
1568493902600;-1792;-16048;-2576;34.27;-814;136;-1212
1568493902700;-1680;-18100;-2368;34.32;-1536;-376;856
1568493902800;-1916;-17176;-2872;34.41;200;-908;69
1568493902900;-1768;-16492;-1904;34.27;254;-573;-891
1568493903000;-1840;-16728;-2172;34.37;-1219;-165;-334
1568493903100;-1736;-15424;-2544;34.37;-825;-602;297
1568493903200;-1472;-16872;-2380;34.22;1041;-879;-570
1568493903300;-1688;-17048;-1996;34.32;-877;-402;163
1568493903400;-1688;-16876;-2244;34.37;-1494;30;579
1568493903500;-1600;-14492;-3120;34.32;-363;-762;-1162
1568493903600;-1452;-17132;-2288;34.32;723;-904;-272
1568493903700;-1796;-16652;-2040;34.27;-565;-444;-267
1568493903800;-1972;-17452;-1892;34.41;-265;-449;193
1568493903900;-1584;-18008;-2396;34.27;-1168;-429;16
1568493904000;-1704;-16748;-1792;34.32;-1039;-409;608
1568493904100;-2484;-18968;-2332;34.27;-1045;-575;198
1568493904200;-2292;-17440;-2420;34.32;306;-817;-620
1568493904300;-1800;-15756;-1764;34.32;373;-577;147
1568493904400;-1700;-16720;-2192;34.32;-851;-463;-235
1568493904500;-1548;-17080;-2208;34.41;-1742;121;41
1568493904600;-2384;-16832;-2612;34.37;-47;-740;-34
1568493904700;-1632;-16612;-1872;34.37;379;-741;-284
1568493904800;-1368;-16920;-2224;34.27;-999;-315;-564
1568493904900;-2392;-16072;-2228;34.37;-1522;-76;-714
1568493905000;-2068;-17100;-2240;34.32;217;-651;752
1568493905100;-1348;-16548;-2012;34.37;-353;-531;-1097
1568493905200;-1980;-16312;-2032;34.41;-2546;575;-1147
1568493905300;-1028;-16928;-2512;34.32;-1411;-371;-885
1568493905400;-1436;-16656;-2924;34.32;-1088;-510;88
1568493905500;-1772;-17608;-2820;34.46;1269;-1328;2125
1568493905600;-992;-12592;-1764;34.37;2252;-840;-2991
1568493905700;-1244;-16688;-1912;34.41;1910;-811;-2982
1568493905800;-320;-17464;-508;34.46;-21;-822;1332
1568493905900;-2560;-16584;-1576;34.46;-2195;-251;2018
1568493906000;-1840;-16776;-1804;34.37;-665;-916;-1141
1568493906100;-1700;-16416;-1836;34.41;-488;-581;-1099
1568493906200;-956;-16560;-1332;34.37;455;-867;-2949
1568493906300;-440;-16564;-1180;34.41;-1259;-518;-1735
1568493906400;-248;-16896;-1992;34.41;-1762;-200;-1129
1568493906500;56;-16200;-2168;34.37;-248;-320;-530
1568493906600;-496;-16424;-1496;34.37;1825;-105;1671
1568493906700;-52;-17124;-244;34.37;2522;-1147;-3849
1568493906800;860;-16580;-284;34.32;-975;-296;-1325
1568493906900;852;-16908;-676;34.37;-1912;-224;518
1568493907000;536;-16568;-924;34.46;810;-714;-188
1568493907100;644;-17104;-48;34.51;-1430;-599;978
1568493907200;-428;-17012;-1352;34.37;-3744;10;1991
1568493907300;-944;-16808;-1632;34.51;934;-653;-592
1568493907400;-716;-16544;-852;34.55;1381;-1088;-2075
1568493907500;-604;-17448;-980;34.51;-1314;-219;609
1568493907600;-760;-16764;-1560;34.46;-2248;-377;844
1568493907700;-892;-16796;-1528;34.41;-666;-484;152
1568493907800;-1220;-16756;-1724;34.41;-395;-843;-670
1568493907900;-1488;-16820;-2140;34.46;-477;-681;-649
1568493908000;-628;-16932;-1192;34.51;-122;-925;-684
1568493908100;-1296;-16684;-1360;34.46;-902;-309;939
1568493908200;-792;-16476;-1868;34.51;-575;-478;53
1568493908300;-876;-16764;-1648;34.55;128;-538;-805
1568493908400;-452;-16956;-1340;34.51;-485;-289;29
1568493908500;-692;-16836;-1588;34.41;-1056;-392;318
1568493908600;-1152;-16700;-1556;34.51;-287;-605;-1029
1568493908700;-564;-17220;-1436;34.51;-1091;-332;-1012
1568493908800;-340;-16964;-1784;34.41;-1723;-249;1514
1568493908900;-756;-16516;-1944;34.51;-102;-604;-324
1568493909000;-500;-16732;-1732;34.41;-589;-503;-96
1568493909100;-492;-16912;-1700;34.46;-765;-242;315
1568493909200;-720;-16812;-1860;34.51;-669;-372;335
1568493909300;-800;-16708;-1816;34.41;-712;-651;59
1568493909400;-828;-16700;-1956;34.46;-685;-499;-146
1568493909500;-688;-16696;-1988;34.41;-336;-600;-483
1568493909600;-680;-16764;-1900;34.51;-649;-506;-87
1568493909700;-740;-16800;-2084;34.51;-609;-481;-15
1568493909800;-868;-16928;-2100;34.51;-726;-497;-143
1568493909900;808;-16828;-2444;34.55;-378;-846;-711
1568493910000;-620;-16536;-2048;34.51;-1151;-296;780
